user_id,item_id,rating
808731,1,4
1209954,1,5
1578279,1,1
2423091,1,3
470232,1,4
1961619,1,5
573537,1,4
1719610,1,2
700890,1,5
1125499,1,5
2217779,1,4
936396,1,2
519684,1,5
2530404,1,3
437881,1,3
1922925,1,4
2010770,1,4
172264,1,4
437111,1,4
2430356,1,4
885165,1,4
2118461,1,5
396595,1,5
2093105,1,3
1254683,1,1
433945,1,5
1815755,1,5
1959936,2,5
1312846,2,3
1025601,2,5
1210631,2,3
1636093,2,5
1632603,2,3
970975,2,3
2118461,2,4
44937,3,5
603277,3,3
1859725,3,4
1204327,3,4
2537764,3,5
2463079,3,3
1286051,3,3
52540,3,1
1478381,3,4
41371,3,5
2446687,3,5
1673185,3,3
1057518,3,4
2213289,3,5
309333,3,4
532382,3,4
1915354,3,4
755319,3,3
290951,3,4
714550,3,4
2393306,3,4
1455472,3,2
1771085,3,2
162854,3,4
2085230,3,4
532649,3,3
788185,3,3
126899,3,3
2130480,3,5
1616563,3,4
2091987,3,2
565510,3,3
2592894,3,4
563607,3,4
28995,3,4
1416480,3,3
2369629,3,4
132691,3,4
2564320,3,3
767052,3,3
1265961,3,4
1460897,3,4
1114552,3,3
1098735,3,2
1316434,3,4
749164,3,4
2604320,3,5
2163577,3,3
313158,3,5
1830000,3,5
1973244,3,4
659526,3,4
1767741,3,4
2168594,3,3
1799047,3,3
1007254,3,4
2510089,3,4
788698,3,3
1573289,3,4
2567000,3,2
2363785,3,4
122302,3,5
273641,3,3
2623717,3,4
2319412,3,5
300962,3,5
427346,3,4
2178437,3,4
513050,3,3
2397497,3,5
718564,3,3
565962,3,5
2340579,3,3
1448818,3,3
2625327,3,3
1218968,3,3
752702,3,1
2296114,3,4
1353746,3,4
2194081,3,4
589596,3,4
635285,3,3
787827,3,4
1561147,3,3
63971,3,4
1115476,3,4
306569,3,3
2076243,3,3
2486115,3,4
2224936,3,5
2452028,3,5
1792548,3,3
2118461,3,4
541826,3,5
2213523,3,3
1943182,3,3
360287,3,4
2426367,3,5
875013,3,4
1475422,3,2
102859,3,5
513933,3,3
1589202,3,3
1970041,3,4
2118159,3,4
1962074,4,2
1839246,4,1
1768736,4,3
2104457,4,3
1985748,4,2
768442,4,3
2267322,4,1
2118461,4,3
2092145,4,2
1745265,5,5
264160,5,5
2563665,5,5
2544532,5,4
1972677,5,5
1078032,5,5
1759886,5,4
449269,5,5
1882319,5,5
2435695,5,5
534046,5,5
592122,5,5
1363879,5,5
1899913,5,5
2548334,5,5
1119113,5,1
141806,5,5
2637755,5,4
33256,5,4
1206822,5,5
753107,5,3
1442154,5,1
1952917,5,5
2204951,5,2
409927,5,5
812458,5,5
2396982,5,5
1698260,5,4
1792137,5,1
240713,5,3
688357,5,4
201811,5,4
1605584,5,4
2039673,5,5
1104245,5,3
2078294,5,4
160474,5,5
2202058,5,5
931475,5,1
1618738,5,4
2500031,5,5
96096,5,4
2118461,5,5
457097,5,5
396595,5,5
1151698,5,5
135340,5,3
350541,5,5
1668233,5,4
1056078,5,4
1316887,5,2
1617608,5,2
2406705,5,1
2436412,5,4
1845480,5,5
204101,5,5
505967,5,5
941279,5,3
1385199,5,3
2336133,6,2
603277,6,3
1478381,6,3
110641,6,5
1663295,6,2
947397,6,4
1242367,6,3
914338,6,1
1243410,6,3
1330405,6,1
1718989,6,5
321059,6,4
2360874,6,1
495324,6,5
678815,6,5
815212,6,1
2317770,6,3
1287180,6,3
1848148,6,5
1653016,6,2
1301819,6,3
1514635,6,4
195378,6,3
1574111,6,1
1243047,6,4
2050201,6,2
2574484,6,4
1854601,6,4
1648342,6,2
1721758,6,4
199369,6,2
844028,6,1
189162,6,4
402698,6,3
440905,6,4
1840456,6,5
94660,6,5
1950207,6,2
1561960,6,1
2118461,6,4
1688337,6,1
1130233,6,4
1268968,6,2
534777,6,1
253434,6,3
2342507,6,4
1600674,6,4
1548339,6,5
767958,7,3
919153,7,1
2512779,7,2
2118461,7,3
824097,8,2
1912665,8,1
2460625,8,3
573364,8,1
1581016,8,2
1075596,8,3
2060891,8,3
11169,8,2
193052,8,4
1892380,8,4
1395432,8,2
603277,8,1
1551236,8,4
1911030,8,5
2239227,8,4
2439795,8,2
928711,8,3
1767188,8,4
1832200,8,3
2133891,8,3
611934,8,3
46778,8,3
419330,8,5
1184218,8,4
1714541,8,4
1478381,8,3
2397231,8,4
2101518,8,4
1500364,8,5
1481149,8,2
2573899,8,3
933168,8,2
2339293,8,4
735813,8,2
1673185,8,2
2184214,8,5
916412,8,1
202305,8,5
1876063,8,3
1074158,8,3
2413043,8,1
1334390,8,3
150137,8,5
2421721,8,5
914839,8,4
2145789,8,1
1031500,8,3
2523067,8,5
1915354,8,4
438620,8,5
859143,8,4
2001195,8,2
79103,8,4
1336398,8,3
2647626,8,4
1176800,8,4
1578279,8,1
15796,8,2
1724717,8,2
1712972,8,2
2351610,8,4
1943333,8,3
29231,8,3
447303,8,3
2503785,8,4
1227602,8,5
1748778,8,4
1298573,8,3
2647532,8,3
388861,8,3
1461365,8,1
2431095,8,3
1322061,8,3
1447639,8,4
2384235,8,5
2269838,8,4
